Fecha,Conductividad,Carga motor (M014),Carga motor (M015),Ind.Presión (PI8026),Ind.Presión (PIC8025),Ind.Temperatura (TI8015),Ind.Temperatura (TIC8014),Estado
2016-01-19 18:00:00,4.4,69.2929156,41.5095251,17.8083477,18.5,80.8396228,99.5991928,0.0
2016-01-19 20:00:00,4.3,69.6175481,41.9261362,17.933875,18.5,83.1995076,99.2227529,0.0
2016-01-19 22:00:00,3.9,69.4042801,41.7598332,18.1749416,18.5,81.5977369,99.7938962,0.0
2016-01-20 00:00:00,3.8,69.9011792,41.4950755,18.4245172,18.5,81.6802069,99.6979233,0.0
2016-01-20 02:00:00,3.8,69.9868375,38.8057175,18.5605435,18.5,81.3128812,99.2697957,0.0
2016-01-20 04:00:00,3.8,70.1179119,38.8403177,18.6287266,18.5,80.7480919,98.1643209,0.0
2016-01-20 06:00:00,4.0,70.1385721,38.8015597,18.5551002,18.5,81.173393,99.0548606,0.0
2016-01-20 08:00:00,4.5,70.3234364,31.4162406,17.9772821,18.5,84.5409363,100.5174619,0.0
2016-01-20 10:00:00,4.6,70.9828703,31.4202558,17.4802368,18.5,85.5005799,100.2853246,0.0
2016-01-20 12:00:00,4.9,70.9920542,37.482887,17.0849682,18.5,83.1590058,100.7768443,0.0
2016-01-20 14:00:00,5.2,72.0787416,42.022074,17.2635916,18.5,95.5805127,100.4402535,1.0
2016-01-20 16:00:00,4.9,70.7166159,43.2124631,17.53904,18.5,86.9617775,100.1427042,0.0
2016-01-20 18:00:00,4.9,70.8689301,43.11437,17.4825759,18.5,86.1117553,99.6786603,0.0
2016-01-20 20:00:00,4.4,70.8425142,43.1947217,18.0149536,18.5,84.4410018,99.8324146,0.0
2016-01-20 22:00:00,4.1,71.1812861,42.9783755,18.27665,18.5,85.0504904,99.9191422,0.0
2016-01-21 00:00:00,3.9,70.8506194,42.5070396,18.1454039,18.5,83.0116934,100.3034492,0.0
2016-01-21 02:00:00,4.0,70.9642139,42.090386,18.0381643,18.5,83.1032347,100.0771642,0.0
2016-01-21 04:00:00,3.7,70.851532,41.6941285,18.008864,18.5,83.0957644,99.8938548,0.0
2016-01-21 06:00:00,4.0,70.8089089,42.1421655,17.9831356,18.5,82.694092,100.4279943,0.0
2016-01-21 08:00:00,4.5,70.1051971,38.9844235,17.8478572,18.5,82.3643833,99.2839531,0.0
2016-01-21 10:00:00,4.7,49.0454729,11.2713826,17.6532913,18.5,76.867562,100.7643956,0.0
2016-01-21 12:00:00,4.8,42.8718441,41.5665395,17.936264,18.5,79.3203109,101.5900884,0.0
2016-01-21 14:00:00,4.2,69.5455145,39.3369063,17.9549299,18.5,78.7887946,100.3792226,0.0
2016-01-21 16:00:00,4.1,69.487897,38.5485182,18.1636448,18.5,78.8591221,99.7157762,0.0
2016-01-21 18:00:00,3.8,64.4469236,38.1099131,19.4870305,19.7,77.8363146,99.6948797,0.0
2016-01-21 20:00:00,4.6,37.3920772,38.3611805,16.3063024,16.5,78.0746046,100.2448542,0.0
2016-01-21 22:00:00,4.0,39.8805269,38.562583,16.6372944,17.0,77.3317343,100.3192558,0.0
2016-01-22 00:00:00,4.2,69.2198004,39.4532938,16.5231938,17.0,78.5006481,101.178643,0.0
2016-01-22 02:00:00,4.0,66.0765879,38.9248512,16.5943385,17.0,76.2479285,99.6910724,0.0
2016-01-22 04:00:00,3.9,69.2096095,38.7259532,16.7153316,17.0,76.701403,100.7535253,0.0
2016-01-22 06:00:00,3.9,60.3151789,38.549921,17.029276,17.0,76.4130755,101.0656203,0.0
2016-01-22 08:00:00,3.9,59.3501329,39.4347203,17.6058778,17.6,77.9042793,100.6628539,0.0
2016-01-22 10:00:00,4.4,70.0520466,40.4004296,17.7331496,18.5,81.3210353,99.738936,0.0
2016-01-22 12:00:00,4.8,69.414046,40.5561404,17.7460393,18.5,81.3309772,99.9246797,0.0
2016-01-22 14:00:00,5.1,69.169672,40.9051064,17.7428528,18.5,82.4178942,100.3032561,0.0
2016-01-22 16:00:00,5.1,69.1404212,41.0697452,17.7154959,18.5,80.7706813,101.3125828,0.0
2016-01-22 18:00:00,4.5,69.2113627,41.2079944,17.6939076,18.5,81.3704833,100.6132677,0.0
2016-01-22 20:00:00,4.4,69.3791162,41.1082706,17.730072,18.5,81.5141865,100.4241891,0.0
2016-01-22 22:00:00,4.7,69.2884528,41.0906175,17.7806963,18.5,81.1893202,100.1889329,0.0
2016-01-23 00:00:00,4.4,69.2034889,41.0202792,17.8708826,18.5,81.2116469,99.0952329,0.0
2016-01-23 02:00:00,4.0,69.2123842,41.1088491,18.0201878,18.5,80.7186788,98.9858784,0.0
2016-01-23 04:00:00,4.4,69.082386,41.0237358,18.1572357,18.5,80.0520587,100.5549834,0.0
2016-01-23 06:00:00,4.1,69.2811335,40.3191024,18.1722725,18.5,79.4692949,100.6253009,0.0
2016-01-23 08:00:00,4.7,69.603127,39.0156757,18.1569976,18.5,82.411714,99.9198667,0.0
2016-01-23 10:00:00,4.9,69.6836606,37.9136537,18.1341918,18.5,82.6966057,99.7552697,0.0
2016-01-23 12:00:00,5.1,69.2733766,37.0907314,18.1001881,18.5,82.1637632,100.0117072,0.0
2016-01-23 14:00:00,4.7,69.5135274,36.8070187,18.0799758,18.5,83.0001254,99.8452025,0.0
2016-01-23 16:00:00,3.9,69.5232236,36.6373516,18.1913585,18.5,81.434034,100.0717665,0.0
2016-01-23 18:00:00,4.4,69.7206883,35.9762749,18.3353239,18.5,82.326764,100.2805067,0.0
2016-01-23 20:00:00,4.4,69.6003679,36.030704,18.4016365,18.5,82.2857415,100.7148358,0.0
2016-01-23 22:00:00,4.2,69.5785681,36.115112,18.3530822,18.5,81.8365958,99.7726251,0.0
2016-01-24 00:00:00,4.3,69.6479984,36.1046541,18.3003725,18.5,81.9574091,100.6594632,0.0
2016-01-24 02:00:00,4.3,69.7572407,36.0404606,18.218477,18.5,83.3035633,99.7918846,0.0
2016-01-24 04:00:00,4.1,69.3534985,35.9602271,18.1293917,18.5,81.1623064,100.021892,0.0
2016-01-24 06:00:00,4.1,69.2977122,35.805446,18.0679129,18.5,81.2878323,100.0496683,0.0
2016-01-24 08:00:00,4.0,69.0507242,35.639818,18.0470677,18.5,79.8503831,100.3428053,0.0
2016-01-24 10:00:00,4.4,69.4294556,35.1228057,18.0330244,18.5,81.6907725,100.0455516,0.0
2016-01-24 12:00:00,4.2,68.8582802,34.6355232,18.079085,18.5,80.432616,99.835095,0.0
2016-01-24 14:00:00,3.9,69.1898298,35.8563544,18.1398669,18.5,81.7579885,99.9959096,0.0
2016-01-24 16:00:00,4.0,70.1595405,40.9328669,18.2163652,18.5,84.8695017,100.0125273,0.0
2016-01-24 18:00:00,4.2,69.0079344,44.1589712,18.315834,18.5,81.261965,100.0154032,0.0
2016-01-24 20:00:00,4.3,69.4236464,43.633876,18.403289,18.5,81.6074965,101.1229124,0.0
2016-01-24 22:00:00,4.3,69.3503063,43.2547267,18.3776776,18.5,81.0040657,100.1787422,0.0
2016-01-25 00:00:00,4.1,69.3166353,42.2573174,18.3245436,18.5,82.018324,100.8114724,0.0
2016-01-25 02:00:00,3.9,69.383117,41.9664934,18.3099556,18.5,81.4739644,100.5905838,0.0
2016-01-25 04:00:00,3.9,69.3725114,42.1255942,18.3514333,18.5,81.1270659,100.459901,0.0
2016-01-25 06:00:00,4.1,69.5004939,41.2652966,18.3797028,18.5,81.2588258,100.7863461,0.0
2016-01-25 08:00:00,4.2,69.3244762,41.1946531,18.2822205,18.5,81.3033906,99.7404168,0.0
2016-01-25 10:00:00,4.3,69.2279458,40.6950847,18.1542941,18.5,80.9936291,99.8981909,0.0
2016-01-25 12:00:00,4.5,69.4751461,40.7830026,18.0288807,18.5,82.1890078,100.1347007,0.0
2016-01-25 14:00:00,4.3,68.9782226,40.9218485,17.9071024,18.5,80.5405043,99.8101009,0.0
2016-01-25 16:00:00,4.5,68.6579179,41.0821494,17.8308575,18.5,79.6192983,99.6987818,0.0
2016-01-25 18:00:00,4.1,69.1992734,41.4120747,18.2279474,18.5,80.5436547,99.8899599,0.0
2016-01-25 20:00:00,4.2,68.7439928,41.2647492,17.2682459,17.4,78.897768,100.776388,0.0
2016-01-25 22:00:00,3.8,69.9510496,42.1466433,17.5691279,17.4,82.28073,100.2159979,0.0
2016-01-26 00:00:00,3.8,68.3956921,42.863855,17.7106237,17.3,78.0287697,100.4982767,0.0
2016-01-26 02:00:00,3.8,69.6679171,43.2625017,17.8164323,18.0,80.2414266,100.3558229,0.0
2016-01-26 04:00:00,3.8,69.2336401,42.158219,17.8208735,18.0,79.3271432,99.3669919,0.0
2016-01-26 06:00:00,3.7,69.4063972,38.0364192,17.8177486,18.0,80.0258508,99.9774528,0.0
2016-01-26 08:00:00,4.4,69.3351686,34.4851884,17.7721734,18.0,80.5267931,99.803816,0.0
2016-01-26 10:00:00,4.9,69.5251453,36.7885058,17.7065009,18.0,81.6863006,99.9302182,0.0
2016-01-26 12:00:00,4.0,69.0733513,39.003015,17.6680043,18.0,79.5356735,100.3737971,0.0
2016-01-26 14:00:00,3.9,69.2326159,39.0090674,17.7063697,18.0,80.6829618,99.7418731,0.0
